Create schedule for 95 teams playing 16 rounds in 190 matches
with a minimum match separation of 7 running 5000000 iterations.

   0:00    0.03% complete (134 updates), about 12 minutes remaining  
   0:00    0.07% complete (153 updates), about 13 minutes remaining  
   0:00    0.10% complete (162 updates), about 12 minutes remaining  
   0:01    0.13% complete (168 updates), about 12 minutes remaining  
   0:01    0.17% complete (171 updates), about 12 minutes remaining  
   0:01    0.20% complete (177 updates), about 13 minutes remaining  
   0:01    0.23% complete (181 updates), about 13 minutes remaining  
   0:02    0.27% complete (187 updates), about 12 minutes remaining  
   0:02    0.30% complete (190 updates), about 13 minutes remaining  
   0:02    0.33% complete (192 updates), about 13 minutes remaining  
   0:02    0.36% complete (195 updates), about 13 minutes remaining  
   0:03    0.39% complete (196 updates), about 13 minutes remaining  
   0:03    0.43% complete (199 updates), about 13 minutes remaining  
   0:03    0.46% complete (200 updates), about 13 minutes remaining  
   0:03    0.49% complete (202 updates), about 13 minutes remaining  
   0:04    0.53% complete (203 updates), about 13 minutes remaining  
   0:04    0.56% complete (203 updates), about 13 minutes remaining  
   0:04    0.59% complete (205 updates), about 13 minutes remaining  
   0:04    0.63% complete (207 updates), about 13 minutes remaining  
   0:05    0.66% complete (208 updates), about 13 minutes remaining  
   0:05    0.69% complete (210 updates), about 13 minutes remaining  
   0:05    0.73% complete (211 updates), about 13 minutes remaining  
   0:05    0.76% complete (211 updates), about 13 minutes remaining  
   0:06    0.79% complete (211 updates), about 13 minutes remaining  
   0:06    0.82% complete (212 updates), about 13 minutes remaining  
   0:06    0.86% complete (212 updates), about 13 minutes remaining  
   0:06    0.89% complete (216 updates), about 13 minutes remaining  
   0:07    0.92% complete (218 updates), about 13 minutes remaining  
   0:07    0.96% complete (218 updates), about 13 minutes remaining  
   0:07    0.99% complete (219 updates), about 13 minutes remaining  
   0:07    1.02% complete (219 updates), about 13 minutes remaining  
   0:08    1.05% complete (219 updates), about 13 minutes remaining  
   0:08    1.08% complete (220 updates), about 13 minutes remaining  
   0:08    1.12% complete (221 updates), about 13 minutes remaining  
   0:08    1.15% complete (222 updates), about 13 minutes remaining  
   0:09    1.19% complete (222 updates), about 13 minutes remaining  
   0:09    1.22% complete (222 updates), about 12 minutes remaining  
   0:09    1.25% complete (223 updates), about 12 minutes remaining  
   0:09    1.28% complete (223 updates), about 13 minutes remaining  
   0:10    1.32% complete (223 updates), about 12 minutes remaining  
   0:10    1.35% complete (225 updates), about 12 minutes remaining  
   0:10    1.38% complete (226 updates), about 12 minutes remaining  
   0:10    1.42% complete (226 updates), about 12 minutes remaining  
   0:11    1.45% complete (226 updates), about 12 minutes remaining  
   0:11    1.49% complete (226 updates), about 12 minutes remaining  
   0:11    1.52% complete (227 updates), about 12 minutes remaining  
   0:11    1.56% complete (228 updates), about 12 minutes remaining  
   0:12    1.59% complete (229 updates), about 12 minutes remaining  
   0:12    1.62% complete (231 updates), about 12 minutes remaining  
   0:12    1.66% complete (231 updates), about 12 minutes remaining  
   0:12    1.69% complete (231 updates), about 12 minutes remaining  
   0:13    1.73% complete (232 updates), about 12 minutes remaining  
   0:13    1.76% complete (232 updates), about 12 minutes remaining  
   0:13    1.80% complete (233 updates), about 12 minutes remaining  
   0:13    1.83% complete (233 updates), about 12 minutes remaining  
   0:14    1.86% complete (234 updates), about 12 minutes remaining  
   0:14    1.90% complete (235 updates), about 12 minutes remaining  
   0:14    1.93% complete (236 updates), about 12 minutes remaining  
   0:14    1.97% complete (236 updates), about 12 minutes remaining  
   0:15    2.00% complete (237 updates), about 12 minutes remaining  
   0:15    2.03% complete (239 updates), about 12 minutes remaining  
   0:15    2.07% complete (239 updates), about 12 minutes remaining  
   0:15    2.10% complete (240 updates), about 12 minutes remaining  
   0:16    2.14% complete (240 updates), about 12 minutes remaining  
   0:16    2.17% complete (240 updates), about 12 minutes remaining  
   0:16    2.20% complete (240 updates), about 12 minutes remaining  
   0:16    2.24% complete (241 updates), about 12 minutes remaining  
   0:17    2.27% complete (241 updates), about 12 minutes remaining  
   0:17    2.31% complete (241 updates), about 12 minutes remaining  
   0:17    2.34% complete (241 updates), about 12 minutes remaining  
   0:17    2.37% complete (241 updates), about 12 minutes remaining  
   0:18    2.40% complete (242 updates), about 12 minutes remaining  
   0:18    2.44% complete (242 updates), about 12 minutes remaining  
   0:18    2.47% complete (242 updates), about 12 minutes remaining  
   0:18    2.51% complete (243 updates), about 12 minutes remaining  
   0:19    2.54% complete (243 updates), about 12 minutes remaining  
   0:19    2.57% complete (243 updates), about 12 minutes remaining  
   0:19    2.60% complete (243 updates), about 12 minutes remaining  
   0:19    2.63% complete (243 updates), about 12 minutes remaining  
   0:20    2.66% complete (243 updates), about 12 minutes remaining  
   0:20    2.70% complete (244 updates), about 12 minutes remaining  
   0:20    2.73% complete (244 updates), about 12 minutes remaining  
   0:20    2.76% complete (244 updates), about 12 minutes remaining  
   0:21    2.79% complete (244 updates), about 12 minutes remaining  
   0:21    2.82% complete (244 updates), about 12 minutes remaining  
   0:21    2.85% complete (245 updates), about 12 minutes remaining  
   0:21    2.89% complete (245 updates), about 12 minutes remaining  
   0:22    2.92% complete (245 updates), about 12 minutes remaining  
   0:22    2.95% complete (245 updates), about 12 minutes remaining  
   0:22    2.98% complete (245 updates), about 12 minutes remaining  
   0:22    3.02% complete (245 updates), about 12 minutes remaining  
   0:23    3.05% complete (245 updates), about 12 minutes remaining  
   0:23    3.09% complete (245 updates), about 12 minutes remaining  
   0:23    3.12% complete (245 updates), about 12 minutes remaining  
   0:23    3.15% complete (245 updates), about 12 minutes remaining  
   0:24    3.19% complete (246 updates), about 12 minutes remaining  
   0:24    3.22% complete (246 updates), about 12 minutes remaining  
   0:24    3.26% complete (246 updates), about 12 minutes remaining  
   0:24    3.29% complete (246 updates), about 12 minutes remaining  
   0:25    3.32% complete (246 updates), about 12 minutes remaining  
   0:25    3.36% complete (246 updates), about 12 minutes remaining  
   0:25    3.39% complete (246 updates), about 12 minutes remaining  
   0:25    3.43% complete (246 updates), about 12 minutes remaining  
   0:26    3.46% complete (246 updates), about 12 minutes remaining  
   0:26    3.50% complete (246 updates), about 12 minutes remaining  
   0:26    3.53% complete (246 updates), about 12 minutes remaining  
   0:26    3.56% complete (246 updates), about 12 minutes remaining  
   0:27    3.60% complete (246 updates), about 12 minutes remaining  
   0:27    3.63% complete (246 updates), about 12 minutes remaining  
   0:27    3.67% complete (246 updates), about 12 minutes remaining  
   0:27    3.70% complete (246 updates), about 12 minutes remaining  
   0:28    3.73% complete (247 updates), about 12 minutes remaining  
   0:28    3.77% complete (247 updates), about 12 minutes remaining  
   0:28    3.80% complete (247 updates), about 12 minutes remaining  
   0:28    3.84% complete (247 updates), about 12 minutes remaining  
   0:29    3.87% complete (248 updates), about 12 minutes remaining  
   0:29    3.91% complete (248 updates), about 12 minutes remaining  
   0:29    3.94% complete (249 updates), about 12 minutes remaining  
   0:29    3.97% complete (249 updates), about 12 minutes remaining  
   0:30    4.01% complete (249 updates), about 12 minutes remaining  
   0:30    4.04% complete (249 updates), about 12 minutes remaining  
   0:30    4.08% complete (249 updates), about 12 minutes remaining  
   0:30    4.11% complete (249 updates), about 12 minutes remaining  
   0:31    4.14% complete (249 updates), about 12 minutes remaining  
   0:31    4.18% complete (249 updates), about 12 minutes remaining  
   0:31    4.21% complete (249 updates), about 12 minutes remaining  
   0:31    4.24% complete (249 updates), about 12 minutes remaining  
   0:32    4.28% complete (249 updates), about 12 minutes remaining  
   0:32    4.31% complete (250 updates), about 12 minutes remaining  
   0:32    4.35% complete (250 updates), about 12 minutes remaining  
   0:32    4.38% complete (250 updates), about 12 minutes remaining  
   0:33    4.42% complete (250 updates), about 12 minutes remaining  
   0:33    4.45% complete (250 updates), about 12 minutes remaining  
   0:33    4.48% complete (250 updates), about 12 minutes remaining  
   0:33    4.52% complete (251 updates), about 12 minutes remaining  
   0:34    4.55% complete (251 updates), about 12 minutes remaining  
   0:34    4.58% complete (251 updates), about 12 minutes remaining  
   0:34    4.62% complete (251 updates), about 12 minutes remaining  
   0:34    4.65% complete (251 updates), about 12 minutes remaining  
   0:35    4.69% complete (251 updates), about 12 minutes remaining  
   0:35    4.72% complete (251 updates), about 12 minutes remaining  
   0:35    4.76% complete (251 updates), about 12 minutes remaining  
   0:35    4.79% complete (251 updates), about 12 minutes remaining  
   0:36    4.83% complete (251 updates), about 12 minutes remaining  
   0:36    4.86% complete (251 updates), about 12 minutes remaining  
   0:36    4.89% complete (252 updates), about 12 minutes remaining  
   0:36    4.93% complete (252 updates), about 12 minutes remaining  
   0:37    4.96% complete (253 updates), about 12 minutes remaining  
   0:37    5.00% complete (253 updates), about 12 minutes remaining  
   0:37    5.03% complete (253 updates), about 12 minutes remaining  
   0:37    5.06% complete (253 updates), about 12 minutes remaining  
   0:38    5.10% complete (255 updates), about 12 minutes remaining  
   0:38    5.13% complete (255 updates), about 12 minutes remaining  
   0:38    5.17% complete (255 updates), about 12 minutes remaining  
   0:38    5.20% complete (255 updates), about 12 minutes remaining  
   0:39    5.23% complete (255 updates), about 12 minutes remaining  
   0:39    5.27% complete (255 updates), about 12 minutes remaining  
   0:39    5.30% complete (255 updates), about 12 minutes remaining  
   0:39    5.33% complete (255 updates), about 12 minutes remaining  
   0:40    5.37% complete (255 updates), about 12 minutes remaining  
   0:40    5.40% complete (255 updates), about 12 minutes remaining  
   0:40    5.44% complete (255 updates), about 12 minutes remaining  
   0:40    5.47% complete (255 updates), about 12 minutes remaining  
   0:41    5.50% complete (255 updates), about 12 minutes remaining  
   0:41    5.54% complete (255 updates), about 12 minutes remaining  
   0:41    5.56% complete (255 updates), about 12 minutes remaining  
   0:41    5.59% complete (255 updates), about 12 minutes remaining  
   0:42    5.62% complete (255 updates), about 12 minutes remaining  
   0:42    5.66% complete (255 updates), about 12 minutes remaining  
   0:42    5.69% complete (255 updates), about 12 minutes remaining  
   0:42    5.72% complete (255 updates), about 12 minutes remaining  
   0:43    5.76% complete (256 updates), about 12 minutes remaining  
   0:43    5.79% complete (256 updates), about 12 minutes remaining  
   0:43    5.83% complete (256 updates), about 12 minutes remaining  
   0:43    5.86% complete (256 updates), about 12 minutes remaining  
   0:44    5.90% complete (256 updates), about 12 minutes remaining  
   0:44    5.93% complete (256 updates), about 12 minutes remaining  
   0:44    5.96% complete (256 updates), about 12 minutes remaining  
   0:44    6.00% complete (256 updates), about 12 minutes remaining  
   0:45    6.03% complete (256 updates), about 12 minutes remaining  
   0:45    6.07% complete (256 updates), about 12 minutes remaining  
   0:45    6.10% complete (256 updates), about 12 minutes remaining  
   0:45    6.13% complete (256 updates), about 12 minutes remaining  
   0:46    6.17% complete (256 updates), about 12 minutes remaining  
   0:46    6.20% complete (256 updates), about 12 minutes remaining  
   0:46    6.23% complete (256 updates), about 12 minutes remaining  
   0:46    6.27% complete (256 updates), about 12 minutes remaining  
   0:47    6.30% complete (256 updates), about 12 minutes remaining  
   0:47    6.34% complete (256 updates), about 12 minutes remaining  
   0:47    6.37% complete (256 updates), about 12 minutes remaining  
   0:47    6.41% complete (256 updates), about 12 minutes remaining  
   0:48    6.44% complete (256 updates), about 12 minutes remaining  
   0:48    6.48% complete (256 updates), about 12 minutes remaining  
   0:48    6.51% complete (256 updates), about 12 minutes remaining  
   0:48    6.55% complete (257 updates), about 12 minutes remaining  
   0:49    6.58% complete (258 updates), about 12 minutes remaining  
   0:49    6.62% complete (258 updates), about 12 minutes remaining  
   0:49    6.65% complete (258 updates), about 12 minutes remaining  
   0:49    6.68% complete (258 updates), about 12 minutes remaining  
   0:50    6.72% complete (260 updates), about 12 minutes remaining  
   0:50    6.75% complete (260 updates), about 12 minutes remaining  
   0:50    6.79% complete (260 updates), about 12 minutes remaining  
   0:50    6.82% complete (260 updates), about 12 minutes remaining  
   0:51    6.86% complete (261 updates), about 12 minutes remaining  
   0:51    6.89% complete (261 updates), about 12 minutes remaining  
   0:51    6.92% complete (261 updates), about 12 minutes remaining  
   0:51    6.96% complete (261 updates), about 12 minutes remaining  
   0:52    6.99% complete (261 updates), about 12 minutes remaining  
   0:52    7.02% complete (261 updates), about 12 minutes remaining  
   0:52    7.06% complete (261 updates), about 12 minutes remaining  
   0:52    7.09% complete (261 updates), about 12 minutes remaining  
   0:53    7.13% complete (261 updates), about 12 minutes remaining  
   0:53    7.16% complete (261 updates), about 12 minutes remaining  
   0:53    7.20% complete (261 updates), about 11 minutes remaining  
   0:53    7.23% complete (261 updates), about 11 minutes remaining  
   0:54    7.27% complete (261 updates), about 11 minutes remaining  
   0:54    7.30% complete (261 updates), about 11 minutes remaining  
   0:54    7.34% complete (261 updates), about 11 minutes remaining  
   0:54    7.37% complete (262 updates), about 11 minutes remaining  
   0:55    7.41% complete (262 updates), about 11 minutes remaining  
   0:55    7.44% complete (262 updates), about 11 minutes remaining  
   0:55    7.47% complete (262 updates), about 11 minutes remaining  
   0:55    7.51% complete (264 updates), about 11 minutes remaining  
   0:56    7.54% complete (264 updates), about 11 minutes remaining  
   0:56    7.58% complete (264 updates), about 11 minutes remaining  
   0:56    7.61% complete (265 updates), about 11 minutes remaining  
   0:56    7.65% complete (265 updates), about 11 minutes remaining  
   0:57    7.68% complete (265 updates), about 11 minutes remaining  
   0:57    7.72% complete (265 updates), about 11 minutes remaining  
   0:57    7.75% complete (268 updates), about 11 minutes remaining  
   0:57    7.79% complete (268 updates), about 11 minutes remaining  
   0:58    7.82% complete (268 updates), about 11 minutes remaining  
   0:58    7.86% complete (268 updates), about 11 minutes remaining  
   0:58    7.89% complete (268 updates), about 11 minutes remaining  
   0:58    7.92% complete (269 updates), about 11 minutes remaining  
   0:59    7.96% complete (269 updates), about 11 minutes remaining  
   0:59    7.99% complete (270 updates), about 11 minutes remaining  
   0:59    8.03% complete (270 updates), about 11 minutes remaining  
   0:59    8.06% complete (270 updates), about 11 minutes remaining  
   1:00    8.10% complete (270 updates), about 11 minutes remaining  
   1:00    8.13% complete (270 updates), about 11 minutes remaining  
   1:00    8.16% complete (270 updates), about 11 minutes remaining  
   1:00    8.20% complete (270 updates), about 11 minutes remaining  
   1:01    8.23% complete (270 updates), about 11 minutes remaining  
   1:01    8.27% complete (270 updates), about 11 minutes remaining  
   1:01    8.30% complete (270 updates), about 11 minutes remaining  
