Create schedule for 81 teams playing 16 rounds in 162 matches
with a minimum match separation of 7 running 5000000 iterations.

   0:00    0.04% complete (140 updates), about 10 minutes remaining  
   0:00    0.08% complete (163 updates), about 10 minutes remaining  
   0:00    0.13% complete (170 updates), about 10 minutes remaining  
   0:01    0.17% complete (183 updates), about 10 minutes remaining  
   0:01    0.21% complete (189 updates), about 10 minutes remaining  
   0:01    0.26% complete (194 updates), about 10 minutes remaining  
   0:01    0.30% complete (195 updates), about 10 minutes remaining  
   0:02    0.34% complete (201 updates), about 10 minutes remaining  
   0:02    0.39% complete (204 updates), about 10 minutes remaining  
   0:02    0.43% complete (207 updates), about 10 minutes remaining  
   0:02    0.47% complete (211 updates), about 10 minutes remaining  
   0:03    0.51% complete (212 updates), about 10 minutes remaining  
   0:03    0.56% complete (215 updates), about 10 minutes remaining  
   0:03    0.60% complete (218 updates), about 10 minutes remaining  
   0:03    0.64% complete (220 updates), about 10 minutes remaining  
   0:04    0.68% complete (222 updates), about 10 minutes remaining  
   0:04    0.73% complete (226 updates), about 10 minutes remaining  
   0:04    0.77% complete (226 updates), about 10 minutes remaining  
   0:04    0.81% complete (228 updates), about 10 minutes remaining  
   0:05    0.86% complete (231 updates), about 10 minutes remaining  
   0:05    0.90% complete (233 updates), about 10 minutes remaining  
   0:05    0.95% complete (234 updates), about 10 minutes remaining  
   0:05    0.99% complete (235 updates), about 10 minutes remaining  
   0:06    1.03% complete (237 updates), about 10 minutes remaining  
   0:06    1.08% complete (239 updates), about 10 minutes remaining  
   0:06    1.12% complete (240 updates), about 10 minutes remaining  
   0:06    1.16% complete (240 updates), about 10 minutes remaining  
   0:07    1.21% complete (240 updates), about 10 minutes remaining  
   0:07    1.25% complete (241 updates), about 10 minutes remaining  
   0:07    1.29% complete (242 updates), about 10 minutes remaining  
   0:07    1.34% complete (244 updates), about 10 minutes remaining  
   0:08    1.38% complete (245 updates), about 10 minutes remaining  
   0:08    1.42% complete (245 updates), about 10 minutes remaining  
   0:08    1.47% complete (245 updates), about 10 minutes remaining  
   0:08    1.51% complete (246 updates), about 10 minutes remaining  
   0:09    1.55% complete (248 updates), about 9 minutes remaining  
   0:09    1.60% complete (250 updates), about 9 minutes remaining  
   0:09    1.64% complete (250 updates), about 9 minutes remaining  
   0:09    1.68% complete (251 updates), about 9 minutes remaining  
   0:10    1.73% complete (251 updates), about 9 minutes remaining  
   0:10    1.77% complete (252 updates), about 9 minutes remaining  
   0:10    1.82% complete (252 updates), about 9 minutes remaining  
   0:10    1.86% complete (253 updates), about 9 minutes remaining  
   0:11    1.90% complete (253 updates), about 9 minutes remaining  
   0:11    1.95% complete (253 updates), about 9 minutes remaining  
   0:11    1.99% complete (253 updates), about 9 minutes remaining  
   0:11    2.03% complete (254 updates), about 9 minutes remaining  
   0:12    2.07% complete (256 updates), about 9 minutes remaining  
   0:12    2.12% complete (256 updates), about 9 minutes remaining  
   0:12    2.16% complete (256 updates), about 9 minutes remaining  
   0:12    2.20% complete (256 updates), about 9 minutes remaining  
   0:13    2.25% complete (257 updates), about 9 minutes remaining  
   0:13    2.29% complete (257 updates), about 9 minutes remaining  
   0:13    2.34% complete (258 updates), about 9 minutes remaining  
   0:13    2.38% complete (258 updates), about 9 minutes remaining  
   0:14    2.42% complete (259 updates), about 9 minutes remaining  
   0:14    2.46% complete (261 updates), about 9 minutes remaining  
   0:14    2.50% complete (261 updates), about 9 minutes remaining  
