Create schedule for 87 teams playing 16 rounds in 174 matches
with a minimum match separation of 7 running 5000000 iterations.

   0:00    0.04% complete (147 updates), about 11 minutes remaining  
   0:00    0.08% complete (169 updates), about 11 minutes remaining  
   0:00    0.12% complete (181 updates), about 11 minutes remaining  
   0:01    0.16% complete (193 updates), about 11 minutes remaining  
   0:01    0.19% complete (198 updates), about 11 minutes remaining  
   0:01    0.23% complete (208 updates), about 11 minutes remaining  
   0:01    0.27% complete (215 updates), about 11 minutes remaining  
   0:02    0.31% complete (218 updates), about 11 minutes remaining  
   0:02    0.35% complete (219 updates), about 11 minutes remaining  
   0:02    0.39% complete (221 updates), about 11 minutes remaining  
   0:02    0.43% complete (229 updates), about 11 minutes remaining  
   0:03    0.47% complete (231 updates), about 11 minutes remaining  
   0:03    0.50% complete (235 updates), about 11 minutes remaining  
   0:03    0.54% complete (238 updates), about 11 minutes remaining  
   0:03    0.58% complete (240 updates), about 11 minutes remaining  
   0:04    0.62% complete (242 updates), about 11 minutes remaining  
   0:04    0.66% complete (243 updates), about 11 minutes remaining  
   0:04    0.70% complete (245 updates), about 11 minutes remaining  
   0:04    0.74% complete (245 updates), about 11 minutes remaining  
   0:05    0.78% complete (245 updates), about 11 minutes remaining  
   0:05    0.82% complete (248 updates), about 11 minutes remaining  
   0:05    0.86% complete (248 updates), about 11 minutes remaining  
   0:05    0.90% complete (250 updates), about 11 minutes remaining  
   0:06    0.94% complete (254 updates), about 11 minutes remaining  
   0:06    0.97% complete (256 updates), about 11 minutes remaining  
   0:06    1.01% complete (257 updates), about 11 minutes remaining  
   0:06    1.05% complete (259 updates), about 11 minutes remaining  
   0:07    1.09% complete (260 updates), about 11 minutes remaining  
   0:07    1.13% complete (262 updates), about 11 minutes remaining  
   0:07    1.17% complete (262 updates), about 11 minutes remaining  
   0:07    1.21% complete (264 updates), about 11 minutes remaining  
   0:08    1.25% complete (264 updates), about 11 minutes remaining  
   0:08    1.29% complete (265 updates), about 11 minutes remaining  
   0:08    1.33% complete (265 updates), about 11 minutes remaining  
   0:08    1.36% complete (265 updates), about 11 minutes remaining  
   0:09    1.40% complete (266 updates), about 11 minutes remaining  
   0:09    1.44% complete (266 updates), about 11 minutes remaining  
   0:09    1.48% complete (266 updates), about 11 minutes remaining  
   0:09    1.52% complete (266 updates), about 11 minutes remaining  
   0:10    1.56% complete (267 updates), about 11 minutes remaining  
   0:10    1.60% complete (267 updates), about 11 minutes remaining  
   0:10    1.64% complete (269 updates), about 11 minutes remaining  
   0:10    1.68% complete (269 updates), about 10 minutes remaining  
   0:11    1.72% complete (270 updates), about 10 minutes remaining  
   0:11    1.76% complete (270 updates), about 10 minutes remaining  
   0:11    1.80% complete (270 updates), about 10 minutes remaining  
   0:11    1.83% complete (272 updates), about 10 minutes remaining  
   0:12    1.87% complete (273 updates), about 10 minutes remaining  
   0:12    1.91% complete (274 updates), about 10 minutes remaining  
   0:12    1.95% complete (274 updates), about 10 minutes remaining  
   0:12    1.99% complete (274 updates), about 10 minutes remaining  
   0:13    2.03% complete (274 updates), about 10 minutes remaining  
   0:13    2.07% complete (274 updates), about 10 minutes remaining  
   0:13    2.11% complete (274 updates), about 10 minutes remaining  
   0:13    2.15% complete (274 updates), about 10 minutes remaining  
   0:14    2.19% complete (274 updates), about 10 minutes remaining  
   0:14    2.23% complete (274 updates), about 10 minutes remaining  
   0:14    2.26% complete (275 updates), about 10 minutes remaining  
   0:14    2.30% complete (276 updates), about 10 minutes remaining  
   0:15    2.34% complete (278 updates), about 10 minutes remaining  
   0:15    2.38% complete (280 updates), about 10 minutes remaining  
   0:15    2.42% complete (280 updates), about 10 minutes remaining  
   0:15    2.46% complete (280 updates), about 10 minutes remaining  
   0:16    2.50% complete (280 updates), about 10 minutes remaining  
   0:16    2.54% complete (281 updates), about 10 minutes remaining  
   0:16    2.58% complete (282 updates), about 10 minutes remaining  
   0:16    2.62% complete (282 updates), about 10 minutes remaining  
   0:17    2.66% complete (282 updates), about 10 minutes remaining  
   0:17    2.69% complete (282 updates), about 10 minutes remaining  
   0:17    2.73% complete (282 updates), about 10 minutes remaining  
   0:17    2.77% complete (284 updates), about 10 minutes remaining  
   0:18    2.81% complete (285 updates), about 10 minutes remaining  
   0:18    2.85% complete (285 updates), about 10 minutes remaining  
   0:18    2.89% complete (286 updates), about 10 minutes remaining  
   0:18    2.93% complete (286 updates), about 10 minutes remaining  
   0:19    2.97% complete (286 updates), about 10 minutes remaining  
   0:19    3.01% complete (286 updates), about 10 minutes remaining  
   0:19    3.05% complete (286 updates), about 10 minutes remaining  
   0:19    3.09% complete (286 updates), about 10 minutes remaining  
   0:20    3.13% complete (286 updates), about 10 minutes remaining  
   0:20    3.16% complete (286 updates), about 10 minutes remaining  
   0:20    3.20% complete (286 updates), about 10 minutes remaining  
   0:20    3.24% complete (286 updates), about 10 minutes remaining  
   0:21    3.28% complete (286 updates), about 10 minutes remaining  
   0:21    3.32% complete (286 updates), about 10 minutes remaining  
   0:21    3.36% complete (286 updates), about 10 minutes remaining  
   0:21    3.40% complete (287 updates), about 10 minutes remaining  
   0:22    3.44% complete (288 updates), about 10 minutes remaining  
   0:22    3.47% complete (289 updates), about 10 minutes remaining  
   0:22    3.51% complete (289 updates), about 10 minutes remaining  
   0:22    3.55% complete (289 updates), about 10 minutes remaining  
   0:23    3.59% complete (289 updates), about 10 minutes remaining  
   0:23    3.63% complete (289 updates), about 10 minutes remaining  
   0:23    3.67% complete (290 updates), about 10 minutes remaining  
   0:23    3.71% complete (290 updates), about 10 minutes remaining  
   0:24    3.75% complete (290 updates), about 10 minutes remaining  
   0:24    3.79% complete (290 updates), about 10 minutes remaining  
   0:24    3.83% complete (292 updates), about 10 minutes remaining  
   0:24    3.86% complete (293 updates), about 10 minutes remaining  
   0:25    3.90% complete (293 updates), about 10 minutes remaining  
   0:25    3.94% complete (294 updates), about 10 minutes remaining  
   0:25    3.98% complete (294 updates), about 10 minutes remaining  
   0:25    4.02% complete (294 updates), about 10 minutes remaining  
   0:26    4.06% complete (294 updates), about 10 minutes remaining  
   0:26    4.10% complete (294 updates), about 10 minutes remaining  
   0:26    4.13% complete (294 updates), about 10 minutes remaining  
   0:26    4.17% complete (294 updates), about 10 minutes remaining  
   0:27    4.21% complete (294 updates), about 10 minutes remaining  
   0:27    4.25% complete (294 updates), about 10 minutes remaining  
   0:27    4.29% complete (294 updates), about 10 minutes remaining  
   0:27    4.33% complete (294 updates), about 10 minutes remaining  
   0:28    4.37% complete (295 updates), about 10 minutes remaining  
   0:28    4.41% complete (295 updates), about 10 minutes remaining  
   0:28    4.45% complete (296 updates), about 10 minutes remaining  
   0:28    4.49% complete (297 updates), about 10 minutes remaining  
   0:29    4.53% complete (297 updates), about 10 minutes remaining  
   0:29    4.56% complete (298 updates), about 10 minutes remaining  
   0:29    4.60% complete (298 updates), about 10 minutes remaining  
   0:29    4.64% complete (298 updates), about 10 minutes remaining  
   0:30    4.68% complete (298 updates), about 10 minutes remaining  
   0:30    4.72% complete (298 updates), about 10 minutes remaining  
   0:30    4.76% complete (298 updates), about 10 minutes remaining  
   0:30    4.80% complete (298 updates), about 10 minutes remaining  
   0:31    4.84% complete (298 updates), about 10 minutes remaining  
   0:31    4.88% complete (298 updates), about 10 minutes remaining  
   0:31    4.92% complete (299 updates), about 10 minutes remaining  
   0:31    4.96% complete (299 updates), about 10 minutes remaining  
   0:32    4.99% complete (299 updates), about 10 minutes remaining  
   0:32    5.03% complete (299 updates), about 10 minutes remaining  
   0:32    5.07% complete (299 updates), about 10 minutes remaining  
   0:32    5.11% complete (299 updates), about 10 minutes remaining  
   0:33    5.15% complete (299 updates), about 10 minutes remaining  
   0:33    5.19% complete (299 updates), about 10 minutes remaining  
   0:33    5.23% complete (299 updates), about 10 minutes remaining  
   0:33    5.27% complete (300 updates), about 10 minutes remaining  
   0:34    5.31% complete (300 updates), about 10 minutes remaining  
   0:34    5.35% complete (300 updates), about 10 minutes remaining  
   0:34    5.39% complete (300 updates), about 10 minutes remaining  
   0:34    5.43% complete (300 updates), about 10 minutes remaining  
   0:35    5.47% complete (300 updates), about 10 minutes remaining  
   0:35    5.51% complete (301 updates), about 10 minutes remaining  
   0:35    5.55% complete (301 updates), about 10 minutes remaining  
   0:35    5.59% complete (301 updates), about 10 minutes remaining  
   0:36    5.63% complete (301 updates), about 10 minutes remaining  
   0:36    5.66% complete (301 updates), about 10 minutes remaining  
   0:36    5.70% complete (301 updates), about 10 minutes remaining  
   0:36    5.74% complete (301 updates), about 10 minutes remaining  
   0:37    5.78% complete (301 updates), about 10 minutes remaining  
   0:37    5.82% complete (302 updates), about 10 minutes remaining  
   0:37    5.86% complete (302 updates), about 10 minutes remaining  
   0:37    5.90% complete (302 updates), about 10 minutes remaining  
   0:38    5.94% complete (302 updates), about 10 minutes remaining  
   0:38    5.98% complete (302 updates), about 10 minutes remaining  
   0:38    6.02% complete (302 updates), about 10 minutes remaining  
   0:38    6.06% complete (302 updates), about 10 minutes remaining  
   0:39    6.10% complete (302 updates), about 10 minutes remaining  
   0:39    6.13% complete (302 updates), about 10 minutes remaining  
   0:39    6.17% complete (302 updates), about 10 minutes remaining  
   0:39    6.21% complete (303 updates), about 10 minutes remaining  
   0:40    6.25% complete (303 updates), about 10 minutes remaining  
   0:40    6.29% complete (303 updates), about 10 minutes remaining  
   0:40    6.33% complete (303 updates), about 10 minutes remaining  
   0:40    6.37% complete (303 updates), about 10 minutes remaining  
   0:41    6.40% complete (303 updates), about 10 minutes remaining  
   0:41    6.44% complete (304 updates), about 10 minutes remaining  
   0:41    6.47% complete (304 updates), about 10 minutes remaining  
   0:41    6.51% complete (305 updates), about 10 minutes remaining  
   0:42    6.54% complete (305 updates), about 10 minutes remaining  
   0:42    6.57% complete (305 updates), about 10 minutes remaining  
   0:42    6.61% complete (305 updates), about 10 minutes remaining  
   0:42    6.65% complete (305 updates), about 10 minutes remaining  
   0:43    6.69% complete (305 updates), about 10 minutes remaining  
   0:43    6.73% complete (305 updates), about 10 minutes remaining  
   0:43    6.77% complete (305 updates), about 10 minutes remaining  
   0:43    6.81% complete (305 updates), about 10 minutes remaining  
   0:44    6.85% complete (305 updates), about 10 minutes remaining  
   0:44    6.89% complete (306 updates), about 10 minutes remaining  
   0:44    6.93% complete (306 updates), about 10 minutes remaining  
   0:44    6.97% complete (307 updates), about 10 minutes remaining  
   0:45    7.01% complete (307 updates), about 10 minutes remaining  
   0:45    7.04% complete (307 updates), about 10 minutes remaining  
   0:45    7.08% complete (307 updates), about 10 minutes remaining  
   0:45    7.12% complete (307 updates), about 10 minutes remaining  
   0:46    7.16% complete (307 updates), about 10 minutes remaining  
   0:46    7.20% complete (308 updates), about 10 minutes remaining  
   0:46    7.24% complete (308 updates), about 10 minutes remaining  
   0:46    7.27% complete (308 updates), about 10 minutes remaining  
   0:47    7.31% complete (308 updates), about 10 minutes remaining  
   0:47    7.35% complete (308 updates), about 10 minutes remaining  
   0:47    7.39% complete (308 updates), about 10 minutes remaining  
   0:47    7.43% complete (308 updates), about 10 minutes remaining  
