Create schedule for 63 teams playing 16 rounds in 126 matches
with a minimum match separation of 5 running 5000000 iterations.

   0:00    0.06% complete (131 updates), about 7 minutes remaining  
   0:00    0.12% complete (143 updates), about 7 minutes remaining  
   0:00    0.19% complete (158 updates), about 7 minutes remaining  
   0:01    0.25% complete (160 updates), about 7 minutes remaining  
   0:01    0.32% complete (160 updates), about 7 minutes remaining  
   0:01    0.38% complete (162 updates), about 7 minutes remaining  
   0:01    0.45% complete (163 updates), about 6 minutes remaining  
   0:02    0.51% complete (164 updates), about 6 minutes remaining  
   0:02    0.58% complete (165 updates), about 6 minutes remaining  
   0:02    0.64% complete (167 updates), about 6 minutes remaining  
   0:02    0.70% complete (171 updates), about 6 minutes remaining  
   0:03    0.77% complete (173 updates), about 6 minutes remaining  
   0:03    0.83% complete (175 updates), about 6 minutes remaining  
   0:03    0.89% complete (178 updates), about 6 minutes remaining  
   0:03    0.96% complete (182 updates), about 6 minutes remaining  
   0:04    1.02% complete (182 updates), about 6 minutes remaining  
   0:04    1.09% complete (183 updates), about 6 minutes remaining  
   0:04    1.15% complete (185 updates), about 6 minutes remaining  
   0:04    1.22% complete (187 updates), about 6 minutes remaining  
   0:05    1.28% complete (188 updates), about 6 minutes remaining  
   0:05    1.35% complete (188 updates), about 6 minutes remaining  
   0:05    1.41% complete (188 updates), about 6 minutes remaining  
   0:05    1.48% complete (189 updates), about 6 minutes remaining  
   0:06    1.55% complete (191 updates), about 6 minutes remaining  
   0:06    1.61% complete (192 updates), about 6 minutes remaining  
   0:06    1.68% complete (192 updates), about 6 minutes remaining  
   0:06    1.74% complete (193 updates), about 6 minutes remaining  
   0:07    1.81% complete (193 updates), about 6 minutes remaining  
   0:07    1.87% complete (193 updates), about 6 minutes remaining  
   0:07    1.94% complete (194 updates), about 6 minutes remaining  
   0:07    2.00% complete (196 updates), about 6 minutes remaining  
   0:08    2.07% complete (197 updates), about 6 minutes remaining  
   0:08    2.13% complete (198 updates), about 6 minutes remaining  
   0:08    2.20% complete (199 updates), about 6 minutes remaining  
   0:08    2.27% complete (201 updates), about 6 minutes remaining  
   0:09    2.33% complete (201 updates), about 6 minutes remaining  
   0:09    2.40% complete (201 updates), about 6 minutes remaining  
   0:09    2.46% complete (201 updates), about 6 minutes remaining  
   0:09    2.53% complete (201 updates), about 6 minutes remaining  
   0:10    2.59% complete (201 updates), about 6 minutes remaining  
   0:10    2.66% complete (202 updates), about 6 minutes remaining  
   0:10    2.72% complete (202 updates), about 6 minutes remaining  
   0:10    2.79% complete (202 updates), about 6 minutes remaining  
   0:11    2.85% complete (202 updates), about 6 minutes remaining  
   0:11    2.92% complete (202 updates), about 6 minutes remaining  
   0:11    2.99% complete (202 updates), about 6 minutes remaining  
   0:11    3.05% complete (202 updates), about 6 minutes remaining  
   0:12    3.11% complete (203 updates), about 6 minutes remaining  
   0:12    3.18% complete (203 updates), about 6 minutes remaining  
   0:12    3.24% complete (203 updates), about 6 minutes remaining  
   0:12    3.31% complete (203 updates), about 6 minutes remaining  
   0:13    3.38% complete (203 updates), about 6 minutes remaining  
   0:13    3.44% complete (203 updates), about 6 minutes remaining  
   0:13    3.51% complete (204 updates), about 6 minutes remaining  
   0:13    3.57% complete (204 updates), about 6 minutes remaining  
   0:14    3.64% complete (204 updates), about 6 minutes remaining  
   0:14    3.70% complete (204 updates), about 6 minutes remaining  
   0:14    3.77% complete (204 updates), about 6 minutes remaining  
   0:14    3.84% complete (205 updates), about 6 minutes remaining  
   0:15    3.91% complete (206 updates), about 6 minutes remaining  
   0:15    3.97% complete (207 updates), about 6 minutes remaining  
   0:15    4.04% complete (207 updates), about 6 minutes remaining  
   0:15    4.10% complete (208 updates), about 6 minutes remaining  
   0:16    4.17% complete (208 updates), about 6 minutes remaining  
   0:16    4.24% complete (208 updates), about 6 minutes remaining  
   0:16    4.30% complete (208 updates), about 6 minutes remaining  
   0:16    4.36% complete (209 updates), about 6 minutes remaining  
   0:17    4.43% complete (209 updates), about 6 minutes remaining  
   0:17    4.50% complete (211 updates), about 6 minutes remaining  
   0:17    4.56% complete (211 updates), about 6 minutes remaining  
   0:17    4.63% complete (212 updates), about 6 minutes remaining  
   0:18    4.70% complete (212 updates), about 6 minutes remaining  
   0:18    4.76% complete (213 updates), about 6 minutes remaining  
   0:18    4.83% complete (213 updates), about 6 minutes remaining  
