Create schedule for 62 teams playing 12 rounds in 93 matches
with a minimum match separation of 5 running 5000000 iterations.

   0:00    0.07% complete (94 updates), about 6 minutes remaining  
   0:00    0.14% complete (102 updates), about 6 minutes remaining  
   0:00    0.20% complete (106 updates), about 6 minutes remaining  
   0:01    0.27% complete (110 updates), about 6 minutes remaining  
   0:01    0.34% complete (115 updates), about 6 minutes remaining  
   0:01    0.40% complete (115 updates), about 6 minutes remaining  
   0:01    0.47% complete (118 updates), about 6 minutes remaining  
   0:02    0.54% complete (119 updates), about 6 minutes remaining  
   0:02    0.60% complete (121 updates), about 6 minutes remaining  
   0:02    0.67% complete (123 updates), about 6 minutes remaining  
   0:02    0.74% complete (123 updates), about 6 minutes remaining  
   0:03    0.81% complete (124 updates), about 6 minutes remaining  
   0:03    0.88% complete (124 updates), about 6 minutes remaining  
   0:03    0.95% complete (124 updates), about 6 minutes remaining  
   0:03    1.01% complete (126 updates), about 6 minutes remaining  
   0:04    1.09% complete (127 updates), about 6 minutes remaining  
   0:04    1.15% complete (127 updates), about 6 minutes remaining  
   0:04    1.22% complete (128 updates), about 6 minutes remaining  
   0:04    1.29% complete (128 updates), about 6 minutes remaining  
   0:05    1.36% complete (129 updates), about 6 minutes remaining  
   0:05    1.43% complete (131 updates), about 6 minutes remaining  
   0:05    1.49% complete (132 updates), about 6 minutes remaining  
   0:05    1.56% complete (134 updates), about 6 minutes remaining  
   0:06    1.62% complete (135 updates), about 6 minutes remaining  
   0:06    1.69% complete (136 updates), about 6 minutes remaining  
   0:06    1.76% complete (138 updates), about 6 minutes remaining  
   0:06    1.83% complete (139 updates), about 6 minutes remaining  
   0:07    1.90% complete (139 updates), about 6 minutes remaining  
   0:07    1.97% complete (139 updates), about 6 minutes remaining  
   0:07    2.03% complete (139 updates), about 6 minutes remaining  
   0:07    2.10% complete (140 updates), about 6 minutes remaining  
   0:08    2.17% complete (140 updates), about 6 minutes remaining  
   0:08    2.24% complete (140 updates), about 6 minutes remaining  
   0:08    2.31% complete (141 updates), about 6 minutes remaining  
   0:08    2.38% complete (141 updates), about 6 minutes remaining  
   0:09    2.45% complete (141 updates), about 6 minutes remaining  
   0:09    2.51% complete (141 updates), about 6 minutes remaining  
