Create schedule for 91 teams playing 16 rounds in 182 matches
with a minimum match separation of 7 running 5000000 iterations.

   0:00    0.04% complete (139 updates), about 11 minutes remaining  
   0:00    0.07% complete (161 updates), about 11 minutes remaining  
   0:00    0.11% complete (169 updates), about 11 minutes remaining  
   0:01    0.15% complete (178 updates), about 11 minutes remaining  
   0:01    0.18% complete (189 updates), about 11 minutes remaining  
   0:01    0.22% complete (194 updates), about 11 minutes remaining  
   0:01    0.25% complete (196 updates), about 11 minutes remaining  
   0:02    0.29% complete (198 updates), about 12 minutes remaining  
   0:02    0.32% complete (202 updates), about 12 minutes remaining  
   0:02    0.36% complete (204 updates), about 11 minutes remaining  
   0:02    0.40% complete (205 updates), about 11 minutes remaining  
   0:03    0.43% complete (205 updates), about 11 minutes remaining  
   0:03    0.47% complete (208 updates), about 11 minutes remaining  
   0:03    0.51% complete (210 updates), about 11 minutes remaining  
   0:03    0.54% complete (211 updates), about 11 minutes remaining  
   0:04    0.58% complete (214 updates), about 11 minutes remaining  
   0:04    0.61% complete (215 updates), about 11 minutes remaining  
   0:04    0.65% complete (216 updates), about 11 minutes remaining  
   0:04    0.69% complete (217 updates), about 11 minutes remaining  
   0:05    0.72% complete (219 updates), about 11 minutes remaining  
   0:05    0.76% complete (219 updates), about 11 minutes remaining  
   0:05    0.79% complete (219 updates), about 11 minutes remaining  
   0:05    0.83% complete (223 updates), about 11 minutes remaining  
   0:06    0.87% complete (224 updates), about 11 minutes remaining  
   0:06    0.90% complete (225 updates), about 11 minutes remaining  
   0:06    0.94% complete (227 updates), about 11 minutes remaining  
   0:06    0.98% complete (228 updates), about 11 minutes remaining  
   0:07    1.01% complete (228 updates), about 11 minutes remaining  
   0:07    1.05% complete (228 updates), about 11 minutes remaining  
   0:07    1.08% complete (229 updates), about 11 minutes remaining  
   0:07    1.12% complete (231 updates), about 11 minutes remaining  
   0:08    1.15% complete (232 updates), about 11 minutes remaining  
   0:08    1.19% complete (233 updates), about 11 minutes remaining  
   0:08    1.23% complete (233 updates), about 11 minutes remaining  
   0:08    1.25% complete (234 updates), about 11 minutes remaining  
   0:09    1.29% complete (234 updates), about 11 minutes remaining  
   0:09    1.33% complete (234 updates), about 11 minutes remaining  
   0:09    1.36% complete (236 updates), about 11 minutes remaining  
   0:09    1.40% complete (237 updates), about 11 minutes remaining  
   0:10    1.43% complete (238 updates), about 11 minutes remaining  
   0:10    1.47% complete (241 updates), about 11 minutes remaining  
   0:10    1.50% complete (241 updates), about 11 minutes remaining  
   0:10    1.54% complete (241 updates), about 11 minutes remaining  
   0:11    1.58% complete (241 updates), about 11 minutes remaining  
   0:11    1.61% complete (241 updates), about 11 minutes remaining  
   0:11    1.65% complete (242 updates), about 11 minutes remaining  
   0:11    1.68% complete (242 updates), about 11 minutes remaining  
   0:12    1.72% complete (243 updates), about 11 minutes remaining  
   0:12    1.76% complete (244 updates), about 11 minutes remaining  
   0:12    1.79% complete (245 updates), about 11 minutes remaining  
   0:12    1.83% complete (246 updates), about 11 minutes remaining  
   0:13    1.86% complete (246 updates), about 11 minutes remaining  
   0:13    1.90% complete (247 updates), about 11 minutes remaining  
   0:13    1.94% complete (248 updates), about 11 minutes remaining  
   0:13    1.97% complete (249 updates), about 11 minutes remaining  
   0:14    2.01% complete (249 updates), about 11 minutes remaining  
   0:14    2.04% complete (250 updates), about 11 minutes remaining  
   0:14    2.08% complete (250 updates), about 11 minutes remaining  
   0:14    2.11% complete (250 updates), about 11 minutes remaining  
   0:15    2.15% complete (250 updates), about 11 minutes remaining  
   0:15    2.19% complete (251 updates), about 11 minutes remaining  
   0:15    2.22% complete (251 updates), about 11 minutes remaining  
   0:15    2.26% complete (251 updates), about 11 minutes remaining  
   0:16    2.29% complete (252 updates), about 11 minutes remaining  
   0:16    2.33% complete (252 updates), about 11 minutes remaining  
   0:16    2.37% complete (253 updates), about 11 minutes remaining  
   0:16    2.41% complete (255 updates), about 11 minutes remaining  
   0:17    2.44% complete (255 updates), about 11 minutes remaining  
   0:17    2.48% complete (257 updates), about 11 minutes remaining  
   0:17    2.51% complete (257 updates), about 11 minutes remaining  
   0:17    2.55% complete (257 updates), about 11 minutes remaining  
   0:18    2.59% complete (258 updates), about 11 minutes remaining  
   0:18    2.62% complete (259 updates), about 11 minutes remaining  
   0:18    2.66% complete (259 updates), about 11 minutes remaining  
   0:18    2.70% complete (260 updates), about 11 minutes remaining  
   0:19    2.73% complete (261 updates), about 11 minutes remaining  
   0:19    2.77% complete (262 updates), about 11 minutes remaining  
   0:19    2.81% complete (262 updates), about 11 minutes remaining  
   0:19    2.84% complete (262 updates), about 11 minutes remaining  
   0:20    2.88% complete (262 updates), about 11 minutes remaining  
   0:20    2.92% complete (264 updates), about 11 minutes remaining  
   0:20    2.95% complete (264 updates), about 11 minutes remaining  
   0:20    2.99% complete (264 updates), about 11 minutes remaining  
   0:21    3.02% complete (264 updates), about 11 minutes remaining  
   0:21    3.06% complete (264 updates), about 11 minutes remaining  
   0:21    3.10% complete (265 updates), about 11 minutes remaining  
   0:21    3.13% complete (265 updates), about 11 minutes remaining  
   0:22    3.17% complete (265 updates), about 11 minutes remaining  
   0:22    3.21% complete (265 updates), about 11 minutes remaining  
   0:22    3.24% complete (266 updates), about 11 minutes remaining  
   0:22    3.28% complete (267 updates), about 11 minutes remaining  
   0:23    3.32% complete (267 updates), about 11 minutes remaining  
   0:23    3.35% complete (267 updates), about 11 minutes remaining  
   0:23    3.39% complete (267 updates), about 11 minutes remaining  
   0:23    3.42% complete (267 updates), about 11 minutes remaining  
   0:24    3.46% complete (267 updates), about 11 minutes remaining  
   0:24    3.50% complete (267 updates), about 11 minutes remaining  
   0:24    3.53% complete (267 updates), about 11 minutes remaining  
   0:24    3.57% complete (269 updates), about 11 minutes remaining  
   0:25    3.60% complete (269 updates), about 11 minutes remaining  
