Create schedule for 79 teams playing 16 rounds in 158 matches
with a minimum match separation of 6 running 5000000 iterations.

   0:00    0.04% complete (117 updates), about 9 minutes remaining  
   0:00    0.09% complete (143 updates), about 9 minutes remaining  
   0:00    0.13% complete (150 updates), about 10 minutes remaining  
   0:01    0.18% complete (161 updates), about 9 minutes remaining  
   0:01    0.22% complete (174 updates), about 9 minutes remaining  
   0:01    0.27% complete (177 updates), about 9 minutes remaining  
   0:01    0.31% complete (181 updates), about 9 minutes remaining  
   0:02    0.36% complete (185 updates), about 9 minutes remaining  
   0:02    0.40% complete (188 updates), about 9 minutes remaining  
   0:02    0.45% complete (193 updates), about 9 minutes remaining  
   0:02    0.49% complete (198 updates), about 9 minutes remaining  
   0:03    0.53% complete (199 updates), about 9 minutes remaining  
   0:03    0.58% complete (202 updates), about 9 minutes remaining  
   0:03    0.62% complete (202 updates), about 9 minutes remaining  
   0:03    0.67% complete (206 updates), about 9 minutes remaining  
   0:04    0.71% complete (208 updates), about 9 minutes remaining  
   0:04    0.76% complete (210 updates), about 9 minutes remaining  
   0:04    0.80% complete (211 updates), about 9 minutes remaining  
   0:04    0.85% complete (212 updates), about 9 minutes remaining  
   0:05    0.89% complete (214 updates), about 9 minutes remaining  
   0:05    0.94% complete (215 updates), about 9 minutes remaining  
   0:05    0.98% complete (217 updates), about 9 minutes remaining  
   0:05    1.03% complete (218 updates), about 9 minutes remaining  
   0:06    1.07% complete (220 updates), about 9 minutes remaining  
   0:06    1.12% complete (223 updates), about 9 minutes remaining  
   0:06    1.16% complete (225 updates), about 9 minutes remaining  
   0:06    1.21% complete (226 updates), about 9 minutes remaining  
   0:07    1.25% complete (231 updates), about 9 minutes remaining  
   0:07    1.30% complete (231 updates), about 9 minutes remaining  
   0:07    1.34% complete (232 updates), about 9 minutes remaining  
   0:07    1.39% complete (233 updates), about 9 minutes remaining  
   0:08    1.43% complete (233 updates), about 9 minutes remaining  
   0:08    1.48% complete (233 updates), about 9 minutes remaining  
   0:08    1.52% complete (233 updates), about 9 minutes remaining  
   0:08    1.56% complete (234 updates), about 9 minutes remaining  
   0:09    1.61% complete (236 updates), about 9 minutes remaining  
   0:09    1.65% complete (236 updates), about 9 minutes remaining  
   0:09    1.70% complete (236 updates), about 9 minutes remaining  
   0:09    1.74% complete (238 updates), about 9 minutes remaining  
   0:10    1.79% complete (238 updates), about 9 minutes remaining  
   0:10    1.83% complete (239 updates), about 9 minutes remaining  
   0:10    1.88% complete (239 updates), about 9 minutes remaining  
   0:10    1.92% complete (239 updates), about 9 minutes remaining  
   0:11    1.97% complete (239 updates), about 9 minutes remaining  
   0:11    2.01% complete (242 updates), about 9 minutes remaining  
   0:11    2.06% complete (243 updates), about 9 minutes remaining  
   0:11    2.10% complete (244 updates), about 9 minutes remaining  
   0:12    2.15% complete (244 updates), about 9 minutes remaining  
   0:12    2.19% complete (244 updates), about 9 minutes remaining  
   0:12    2.24% complete (244 updates), about 9 minutes remaining  
   0:12    2.28% complete (244 updates), about 9 minutes remaining  
   0:13    2.33% complete (245 updates), about 9 minutes remaining  
   0:13    2.37% complete (245 updates), about 9 minutes remaining  
   0:13    2.42% complete (245 updates), about 9 minutes remaining  
   0:13    2.46% complete (246 updates), about 9 minutes remaining  
   0:14    2.51% complete (246 updates), about 9 minutes remaining  
   0:14    2.55% complete (247 updates), about 9 minutes remaining  
   0:14    2.60% complete (248 updates), about 9 minutes remaining  
   0:14    2.64% complete (248 updates), about 9 minutes remaining  
   0:15    2.69% complete (249 updates), about 9 minutes remaining  
   0:15    2.73% complete (251 updates), about 9 minutes remaining  
   0:15    2.78% complete (251 updates), about 9 minutes remaining  
   0:15    2.82% complete (253 updates), about 9 minutes remaining  
   0:16    2.87% complete (254 updates), about 9 minutes remaining  
   0:16    2.91% complete (254 updates), about 9 minutes remaining  
   0:16    2.96% complete (254 updates), about 9 minutes remaining  
   0:16    3.01% complete (254 updates), about 9 minutes remaining  
