Create schedule for 75 teams playing 16 rounds in 150 matches
with a minimum match separation of 6 running 5000000 iterations.

   0:00    0.05% complete (145 updates), about 9 minutes remaining  
   0:00    0.10% complete (168 updates), about 9 minutes remaining  
   0:00    0.14% complete (178 updates), about 9 minutes remaining  
   0:01    0.19% complete (186 updates), about 9 minutes remaining  
   0:01    0.23% complete (193 updates), about 9 minutes remaining  
   0:01    0.28% complete (196 updates), about 9 minutes remaining  
   0:01    0.33% complete (200 updates), about 9 minutes remaining  
   0:02    0.37% complete (202 updates), about 9 minutes remaining  
   0:02    0.42% complete (205 updates), about 9 minutes remaining  
   0:02    0.47% complete (208 updates), about 9 minutes remaining  
   0:02    0.52% complete (214 updates), about 9 minutes remaining  
   0:03    0.57% complete (216 updates), about 9 minutes remaining  
   0:03    0.62% complete (217 updates), about 9 minutes remaining  
   0:03    0.67% complete (218 updates), about 9 minutes remaining  
   0:03    0.72% complete (220 updates), about 9 minutes remaining  
   0:04    0.77% complete (221 updates), about 9 minutes remaining  
   0:04    0.82% complete (222 updates), about 9 minutes remaining  
   0:04    0.86% complete (224 updates), about 9 minutes remaining  
   0:04    0.91% complete (226 updates), about 9 minutes remaining  
   0:05    0.96% complete (226 updates), about 9 minutes remaining  
   0:05    1.01% complete (226 updates), about 9 minutes remaining  
   0:05    1.06% complete (228 updates), about 9 minutes remaining  
   0:05    1.11% complete (229 updates), about 9 minutes remaining  
   0:06    1.15% complete (230 updates), about 9 minutes remaining  
   0:06    1.20% complete (231 updates), about 9 minutes remaining  
   0:06    1.25% complete (231 updates), about 9 minutes remaining  
   0:06    1.30% complete (232 updates), about 9 minutes remaining  
   0:07    1.35% complete (233 updates), about 9 minutes remaining  
   0:07    1.40% complete (236 updates), about 9 minutes remaining  
   0:07    1.45% complete (237 updates), about 9 minutes remaining  
   0:07    1.50% complete (238 updates), about 9 minutes remaining  
   0:08    1.54% complete (239 updates), about 9 minutes remaining  
   0:08    1.59% complete (239 updates), about 9 minutes remaining  
   0:08    1.64% complete (239 updates), about 8 minutes remaining  
   0:08    1.69% complete (239 updates), about 8 minutes remaining  
   0:09    1.74% complete (240 updates), about 8 minutes remaining  
   0:09    1.78% complete (240 updates), about 8 minutes remaining  
   0:09    1.83% complete (242 updates), about 8 minutes remaining  
   0:09    1.88% complete (243 updates), about 8 minutes remaining  
   0:10    1.93% complete (243 updates), about 8 minutes remaining  
   0:10    1.98% complete (243 updates), about 8 minutes remaining  
   0:10    2.03% complete (244 updates), about 8 minutes remaining  
   0:10    2.07% complete (244 updates), about 8 minutes remaining  
   0:11    2.12% complete (244 updates), about 8 minutes remaining  
   0:11    2.17% complete (244 updates), about 8 minutes remaining  
   0:11    2.22% complete (244 updates), about 8 minutes remaining  
