Create schedule for 83 teams playing 16 rounds in 166 matches
with a minimum match separation of 7 running 5000000 iterations.

   0:00    0.04% complete (149 updates), about 10 minutes remaining  
   0:00    0.08% complete (173 updates), about 10 minutes remaining  
   0:00    0.13% complete (183 updates), about 10 minutes remaining  
   0:01    0.17% complete (194 updates), about 10 minutes remaining  
   0:01    0.21% complete (200 updates), about 10 minutes remaining  
   0:01    0.25% complete (205 updates), about 10 minutes remaining  
   0:01    0.29% complete (209 updates), about 10 minutes remaining  
   0:02    0.33% complete (211 updates), about 10 minutes remaining  
   0:02    0.37% complete (213 updates), about 10 minutes remaining  
   0:02    0.41% complete (218 updates), about 10 minutes remaining  
   0:02    0.46% complete (222 updates), about 10 minutes remaining  
   0:03    0.50% complete (225 updates), about 10 minutes remaining  
   0:03    0.54% complete (229 updates), about 10 minutes remaining  
   0:03    0.58% complete (230 updates), about 10 minutes remaining  
   0:03    0.62% complete (231 updates), about 10 minutes remaining  
   0:04    0.67% complete (233 updates), about 10 minutes remaining  
   0:04    0.71% complete (233 updates), about 10 minutes remaining  
   0:04    0.75% complete (233 updates), about 10 minutes remaining  
   0:04    0.79% complete (236 updates), about 10 minutes remaining  
   0:05    0.83% complete (239 updates), about 10 minutes remaining  
   0:05    0.87% complete (243 updates), about 10 minutes remaining  
   0:05    0.92% complete (243 updates), about 10 minutes remaining  
   0:05    0.96% complete (246 updates), about 10 minutes remaining  
   0:06    1.00% complete (248 updates), about 10 minutes remaining  
   0:06    1.04% complete (249 updates), about 10 minutes remaining  
   0:06    1.08% complete (249 updates), about 10 minutes remaining  
   0:06    1.13% complete (250 updates), about 10 minutes remaining  
   0:07    1.17% complete (252 updates), about 10 minutes remaining  
   0:07    1.21% complete (253 updates), about 10 minutes remaining  
   0:07    1.25% complete (253 updates), about 10 minutes remaining  
   0:07    1.29% complete (254 updates), about 10 minutes remaining  
   0:08    1.33% complete (254 updates), about 10 minutes remaining  
   0:08    1.37% complete (254 updates), about 10 minutes remaining  
   0:08    1.41% complete (254 updates), about 10 minutes remaining  
   0:08    1.45% complete (256 updates), about 10 minutes remaining  
   0:09    1.50% complete (258 updates), about 10 minutes remaining  
   0:09    1.54% complete (258 updates), about 10 minutes remaining  
   0:09    1.58% complete (259 updates), about 10 minutes remaining  
   0:09    1.62% complete (262 updates), about 10 minutes remaining  
   0:10    1.66% complete (262 updates), about 10 minutes remaining  
   0:10    1.71% complete (263 updates), about 10 minutes remaining  
   0:10    1.75% complete (264 updates), about 10 minutes remaining  
   0:10    1.79% complete (264 updates), about 10 minutes remaining  
   0:11    1.83% complete (264 updates), about 10 minutes remaining  
   0:11    1.87% complete (265 updates), about 10 minutes remaining  
   0:11    1.91% complete (265 updates), about 10 minutes remaining  
   0:11    1.95% complete (265 updates), about 10 minutes remaining  
   0:12    2.00% complete (265 updates), about 10 minutes remaining  
   0:12    2.04% complete (265 updates), about 10 minutes remaining  
   0:12    2.08% complete (266 updates), about 10 minutes remaining  
   0:12    2.12% complete (266 updates), about 10 minutes remaining  
   0:13    2.16% complete (266 updates), about 10 minutes remaining  
   0:13    2.21% complete (267 updates), about 10 minutes remaining  
   0:13    2.25% complete (268 updates), about 10 minutes remaining  
   0:13    2.29% complete (269 updates), about 10 minutes remaining  
   0:14    2.33% complete (269 updates), about 10 minutes remaining  
   0:14    2.37% complete (270 updates), about 10 minutes remaining  
   0:14    2.41% complete (270 updates), about 10 minutes remaining  
   0:14    2.45% complete (270 updates), about 10 minutes remaining  
   0:15    2.50% complete (270 updates), about 10 minutes remaining  
   0:15    2.54% complete (270 updates), about 10 minutes remaining  
   0:15    2.58% complete (270 updates), about 10 minutes remaining  
   0:15    2.62% complete (270 updates), about 10 minutes remaining  
   0:16    2.66% complete (271 updates), about 10 minutes remaining  
