Create schedule for 69 teams playing 16 rounds in 138 matches
with a minimum match separation of 5 running 5000000 iterations.

   0:00    0.05% complete (116 updates), about 8 minutes remaining  
   0:00    0.11% complete (132 updates), about 8 minutes remaining  
   0:00    0.16% complete (136 updates), about 8 minutes remaining  
   0:01    0.22% complete (143 updates), about 8 minutes remaining  
   0:01    0.27% complete (150 updates), about 8 minutes remaining  
   0:01    0.33% complete (154 updates), about 8 minutes remaining  
   0:01    0.39% complete (158 updates), about 8 minutes remaining  
   0:02    0.44% complete (163 updates), about 8 minutes remaining  
   0:02    0.50% complete (165 updates), about 8 minutes remaining  
   0:02    0.55% complete (167 updates), about 7 minutes remaining  
   0:02    0.61% complete (168 updates), about 7 minutes remaining  
   0:03    0.67% complete (172 updates), about 7 minutes remaining  
   0:03    0.72% complete (173 updates), about 7 minutes remaining  
   0:03    0.78% complete (175 updates), about 7 minutes remaining  
   0:03    0.84% complete (175 updates), about 7 minutes remaining  
   0:04    0.89% complete (175 updates), about 7 minutes remaining  
   0:04    0.95% complete (175 updates), about 7 minutes remaining  
   0:04    1.01% complete (176 updates), about 7 minutes remaining  
   0:04    1.06% complete (177 updates), about 7 minutes remaining  
   0:05    1.12% complete (177 updates), about 7 minutes remaining  
   0:05    1.17% complete (179 updates), about 7 minutes remaining  
   0:05    1.23% complete (180 updates), about 7 minutes remaining  
   0:05    1.28% complete (180 updates), about 7 minutes remaining  
   0:06    1.34% complete (182 updates), about 7 minutes remaining  
   0:06    1.40% complete (183 updates), about 7 minutes remaining  
   0:06    1.45% complete (183 updates), about 7 minutes remaining  
   0:06    1.51% complete (185 updates), about 7 minutes remaining  
   0:07    1.57% complete (185 updates), about 7 minutes remaining  
   0:07    1.62% complete (187 updates), about 7 minutes remaining  
   0:07    1.68% complete (188 updates), about 7 minutes remaining  
   0:07    1.74% complete (189 updates), about 7 minutes remaining  
   0:08    1.79% complete (191 updates), about 7 minutes remaining  
   0:08    1.85% complete (193 updates), about 7 minutes remaining  
   0:08    1.90% complete (193 updates), about 7 minutes remaining  
   0:08    1.96% complete (194 updates), about 7 minutes remaining  
   0:09    2.02% complete (196 updates), about 7 minutes remaining  
   0:09    2.07% complete (196 updates), about 7 minutes remaining  
   0:09    2.12% complete (196 updates), about 7 minutes remaining  
   0:09    2.18% complete (198 updates), about 7 minutes remaining  
   0:10    2.24% complete (199 updates), about 7 minutes remaining  
   0:10    2.29% complete (200 updates), about 7 minutes remaining  
   0:10    2.35% complete (201 updates), about 7 minutes remaining  
   0:10    2.41% complete (202 updates), about 7 minutes remaining  
   0:11    2.46% complete (203 updates), about 7 minutes remaining  
