Create schedule for 94 teams playing 12 rounds in 141 matches
with a minimum match separation of 7 running 5000000 iterations.

   0:00    0.06% complete (217 updates), about 7 minutes remaining  
   0:00    0.13% complete (276 updates), about 7 minutes remaining  
   0:00    0.20% complete (306 updates), about 6 minutes remaining  
   0:01    0.27% complete (333 updates), about 6 minutes remaining  
   0:01    0.34% complete (356 updates), about 6 minutes remaining  
   0:01    0.40% complete (376 updates), about 6 minutes remaining  
   0:01    0.47% complete (389 updates), about 6 minutes remaining  
   0:02    0.54% complete (404 updates), about 6 minutes remaining  
   0:02    0.61% complete (409 updates), about 6 minutes remaining  
   0:02    0.68% complete (416 updates), about 6 minutes remaining  
   0:02    0.75% complete (423 updates), about 6 minutes remaining  
   0:03    0.81% complete (426 updates), about 6 minutes remaining  
   0:03    0.88% complete (433 updates), about 6 minutes remaining  
   0:03    0.95% complete (441 updates), about 6 minutes remaining  
   0:03    1.02% complete (446 updates), about 6 minutes remaining  
   0:04    1.09% complete (449 updates), about 6 minutes remaining  
   0:04    1.16% complete (452 updates), about 6 minutes remaining  
   0:04    1.22% complete (458 updates), about 6 minutes remaining  
   0:04    1.29% complete (462 updates), about 6 minutes remaining  
   0:05    1.36% complete (466 updates), about 6 minutes remaining  
   0:05    1.43% complete (471 updates), about 6 minutes remaining  
   0:05    1.50% complete (474 updates), about 6 minutes remaining  
   0:05    1.57% complete (480 updates), about 6 minutes remaining  
   0:06    1.64% complete (485 updates), about 6 minutes remaining  
   0:06    1.71% complete (487 updates), about 6 minutes remaining  
   0:06    1.78% complete (490 updates), about 6 minutes remaining  
   0:06    1.84% complete (494 updates), about 6 minutes remaining  
   0:07    1.91% complete (496 updates), about 6 minutes remaining  
   0:07    1.98% complete (500 updates), about 6 minutes remaining  
   0:07    2.05% complete (504 updates), about 6 minutes remaining  
   0:07    2.12% complete (505 updates), about 6 minutes remaining  
   0:08    2.19% complete (506 updates), about 6 minutes remaining  
   0:08    2.26% complete (507 updates), about 6 minutes remaining  
   0:08    2.32% complete (508 updates), about 6 minutes remaining  
   0:08    2.39% complete (510 updates), about 6 minutes remaining  
   0:09    2.46% complete (514 updates), about 6 minutes remaining  
   0:09    2.53% complete (516 updates), about 6 minutes remaining  
   0:09    2.60% complete (517 updates), about 6 minutes remaining  
   0:09    2.67% complete (518 updates), about 6 minutes remaining  
