Create schedule for 89 teams playing 16 rounds in 178 matches
with a minimum match separation of 7 running 5000000 iterations.

   0:00    0.04% complete (138 updates), about 11 minutes remaining  
   0:00    0.07% complete (157 updates), about 11 minutes remaining  
   0:00    0.11% complete (174 updates), about 11 minutes remaining  
   0:01    0.15% complete (190 updates), about 11 minutes remaining  
   0:01    0.19% complete (203 updates), about 11 minutes remaining  
   0:01    0.23% complete (207 updates), about 11 minutes remaining  
   0:01    0.26% complete (212 updates), about 11 minutes remaining  
   0:02    0.30% complete (215 updates), about 11 minutes remaining  
   0:02    0.34% complete (221 updates), about 11 minutes remaining  
   0:02    0.37% complete (225 updates), about 11 minutes remaining  
   0:02    0.41% complete (228 updates), about 11 minutes remaining  
   0:03    0.45% complete (236 updates), about 11 minutes remaining  
   0:03    0.49% complete (239 updates), about 11 minutes remaining  
   0:03    0.52% complete (239 updates), about 11 minutes remaining  
   0:03    0.56% complete (241 updates), about 11 minutes remaining  
   0:04    0.59% complete (243 updates), about 11 minutes remaining  
   0:04    0.63% complete (245 updates), about 11 minutes remaining  
   0:04    0.66% complete (248 updates), about 11 minutes remaining  
   0:04    0.70% complete (251 updates), about 11 minutes remaining  
   0:05    0.73% complete (251 updates), about 11 minutes remaining  
   0:05    0.77% complete (254 updates), about 11 minutes remaining  
   0:05    0.80% complete (255 updates), about 11 minutes remaining  
   0:05    0.84% complete (257 updates), about 11 minutes remaining  
   0:06    0.88% complete (259 updates), about 11 minutes remaining  
   0:06    0.92% complete (261 updates), about 11 minutes remaining  
   0:06    0.95% complete (262 updates), about 11 minutes remaining  
   0:06    0.99% complete (262 updates), about 11 minutes remaining  
   0:07    1.03% complete (262 updates), about 11 minutes remaining  
   0:07    1.07% complete (264 updates), about 11 minutes remaining  
   0:07    1.10% complete (265 updates), about 11 minutes remaining  
   0:07    1.14% complete (267 updates), about 11 minutes remaining  
   0:08    1.18% complete (268 updates), about 11 minutes remaining  
   0:08    1.22% complete (269 updates), about 11 minutes remaining  
   0:08    1.25% complete (269 updates), about 11 minutes remaining  
   0:08    1.29% complete (272 updates), about 11 minutes remaining  
   0:09    1.33% complete (272 updates), about 11 minutes remaining  
   0:09    1.36% complete (272 updates), about 11 minutes remaining  
   0:09    1.40% complete (273 updates), about 11 minutes remaining  
   0:09    1.44% complete (273 updates), about 11 minutes remaining  
   0:10    1.48% complete (274 updates), about 11 minutes remaining  
   0:10    1.51% complete (275 updates), about 11 minutes remaining  
   0:10    1.55% complete (276 updates), about 11 minutes remaining  
   0:10    1.59% complete (277 updates), about 11 minutes remaining  
   0:11    1.63% complete (278 updates), about 11 minutes remaining  
   0:11    1.66% complete (278 updates), about 11 minutes remaining  
   0:11    1.70% complete (278 updates), about 11 minutes remaining  
   0:11    1.74% complete (278 updates), about 11 minutes remaining  
   0:12    1.78% complete (278 updates), about 11 minutes remaining  
   0:12    1.82% complete (281 updates), about 11 minutes remaining  
   0:12    1.85% complete (281 updates), about 11 minutes remaining  
   0:12    1.89% complete (282 updates), about 11 minutes remaining  
   0:13    1.93% complete (285 updates), about 11 minutes remaining  
   0:13    1.97% complete (287 updates), about 11 minutes remaining  
   0:13    2.00% complete (288 updates), about 11 minutes remaining  
   0:13    2.04% complete (289 updates), about 11 minutes remaining  
   0:14    2.08% complete (290 updates), about 11 minutes remaining  
   0:14    2.12% complete (290 updates), about 11 minutes remaining  
   0:14    2.16% complete (290 updates), about 11 minutes remaining  
   0:14    2.19% complete (290 updates), about 11 minutes remaining  
   0:15    2.23% complete (290 updates), about 11 minutes remaining  
   0:15    2.27% complete (290 updates), about 11 minutes remaining  
   0:15    2.31% complete (291 updates), about 11 minutes remaining  
   0:15    2.35% complete (292 updates), about 11 minutes remaining  
   0:16    2.38% complete (293 updates), about 11 minutes remaining  
   0:16    2.42% complete (295 updates), about 11 minutes remaining  
   0:16    2.46% complete (295 updates), about 11 minutes remaining  
   0:16    2.49% complete (295 updates), about 11 minutes remaining  
   0:17    2.53% complete (298 updates), about 11 minutes remaining  
   0:17    2.57% complete (298 updates), about 11 minutes remaining  
   0:17    2.60% complete (299 updates), about 11 minutes remaining  
   0:17    2.64% complete (299 updates), about 11 minutes remaining  
   0:18    2.68% complete (299 updates), about 11 minutes remaining  
   0:18    2.72% complete (299 updates), about 11 minutes remaining  
   0:18    2.75% complete (300 updates), about 11 minutes remaining  
   0:18    2.79% complete (300 updates), about 11 minutes remaining  
   0:19    2.83% complete (300 updates), about 11 minutes remaining  
   0:19    2.87% complete (300 updates), about 11 minutes remaining  
   0:19    2.91% complete (300 updates), about 11 minutes remaining  
   0:19    2.94% complete (300 updates), about 11 minutes remaining  
   0:20    2.98% complete (300 updates), about 11 minutes remaining  
   0:20    3.02% complete (300 updates), about 11 minutes remaining  
   0:20    3.06% complete (300 updates), about 11 minutes remaining  
   0:20    3.09% complete (301 updates), about 11 minutes remaining  
   0:21    3.13% complete (302 updates), about 11 minutes remaining  
   0:21    3.17% complete (302 updates), about 11 minutes remaining  
   0:21    3.21% complete (302 updates), about 11 minutes remaining  
   0:21    3.24% complete (302 updates), about 11 minutes remaining  
   0:22    3.28% complete (302 updates), about 11 minutes remaining  
   0:22    3.32% complete (302 updates), about 11 minutes remaining  
   0:22    3.36% complete (302 updates), about 11 minutes remaining  
   0:22    3.39% complete (302 updates), about 11 minutes remaining  
   0:23    3.43% complete (302 updates), about 11 minutes remaining  
   0:23    3.47% complete (302 updates), about 11 minutes remaining  
   0:23    3.51% complete (302 updates), about 11 minutes remaining  
   0:23    3.54% complete (302 updates), about 11 minutes remaining  
   0:24    3.58% complete (302 updates), about 11 minutes remaining  
