Create schedule for 73 teams playing 16 rounds in 146 matches
with a minimum match separation of 6 running 5000000 iterations.

   0:00    0.05% complete (136 updates), about 9 minutes remaining  
   0:00    0.10% complete (154 updates), about 9 minutes remaining  
   0:00    0.15% complete (165 updates), about 8 minutes remaining  
   0:01    0.20% complete (171 updates), about 8 minutes remaining  
   0:01    0.24% complete (180 updates), about 9 minutes remaining  
   0:01    0.28% complete (184 updates), about 9 minutes remaining  
   0:01    0.33% complete (187 updates), about 9 minutes remaining  
   0:02    0.38% complete (192 updates), about 9 minutes remaining  
   0:02    0.43% complete (194 updates), about 9 minutes remaining  
   0:02    0.48% complete (194 updates), about 9 minutes remaining  
   0:02    0.53% complete (198 updates), about 9 minutes remaining  
   0:03    0.58% complete (199 updates), about 9 minutes remaining  
   0:03    0.63% complete (201 updates), about 9 minutes remaining  
   0:03    0.68% complete (201 updates), about 9 minutes remaining  
   0:03    0.73% complete (203 updates), about 9 minutes remaining  
   0:04    0.78% complete (203 updates), about 8 minutes remaining  
   0:04    0.83% complete (206 updates), about 8 minutes remaining  
   0:04    0.88% complete (207 updates), about 8 minutes remaining  
   0:04    0.93% complete (210 updates), about 8 minutes remaining  
   0:05    0.98% complete (213 updates), about 8 minutes remaining  
   0:05    1.04% complete (214 updates), about 8 minutes remaining  
   0:05    1.09% complete (216 updates), about 8 minutes remaining  
   0:05    1.14% complete (218 updates), about 8 minutes remaining  
   0:06    1.19% complete (221 updates), about 8 minutes remaining  
   0:06    1.24% complete (221 updates), about 8 minutes remaining  
   0:06    1.29% complete (221 updates), about 8 minutes remaining  
   0:06    1.34% complete (221 updates), about 8 minutes remaining  
   0:07    1.39% complete (223 updates), about 8 minutes remaining  
   0:07    1.44% complete (227 updates), about 8 minutes remaining  
   0:07    1.49% complete (228 updates), about 8 minutes remaining  
   0:07    1.54% complete (229 updates), about 8 minutes remaining  
   0:08    1.59% complete (229 updates), about 8 minutes remaining  
   0:08    1.64% complete (229 updates), about 8 minutes remaining  
   0:08    1.69% complete (230 updates), about 8 minutes remaining  
   0:08    1.75% complete (230 updates), about 8 minutes remaining  
   0:09    1.80% complete (234 updates), about 8 minutes remaining  
   0:09    1.85% complete (234 updates), about 8 minutes remaining  
   0:09    1.90% complete (235 updates), about 8 minutes remaining  
   0:09    1.95% complete (236 updates), about 8 minutes remaining  
   0:10    2.00% complete (236 updates), about 8 minutes remaining  
   0:10    2.06% complete (237 updates), about 8 minutes remaining  
   0:10    2.11% complete (237 updates), about 8 minutes remaining  
   0:10    2.16% complete (237 updates), about 8 minutes remaining  
   0:11    2.21% complete (237 updates), about 8 minutes remaining  
   0:11    2.26% complete (237 updates), about 8 minutes remaining  
   0:11    2.31% complete (237 updates), about 8 minutes remaining  
