Create schedule for 65 teams playing 16 rounds in 130 matches
with a minimum match separation of 5 running 5000000 iterations.

   0:00    0.06% complete (123 updates), about 7 minutes remaining  
   0:00    0.12% complete (134 updates), about 7 minutes remaining  
   0:00    0.18% complete (140 updates), about 7 minutes remaining  
   0:01    0.24% complete (147 updates), about 7 minutes remaining  
   0:01    0.31% complete (152 updates), about 7 minutes remaining  
   0:01    0.37% complete (157 updates), about 7 minutes remaining  
   0:01    0.43% complete (162 updates), about 7 minutes remaining  
   0:02    0.49% complete (167 updates), about 7 minutes remaining  
   0:02    0.55% complete (167 updates), about 7 minutes remaining  
   0:02    0.61% complete (170 updates), about 7 minutes remaining  
   0:02    0.68% complete (172 updates), about 7 minutes remaining  
   0:03    0.74% complete (173 updates), about 7 minutes remaining  
   0:03    0.80% complete (176 updates), about 7 minutes remaining  
   0:03    0.86% complete (176 updates), about 7 minutes remaining  
   0:03    0.92% complete (176 updates), about 7 minutes remaining  
   0:04    0.99% complete (177 updates), about 7 minutes remaining  
   0:04    1.05% complete (177 updates), about 7 minutes remaining  
   0:04    1.11% complete (178 updates), about 7 minutes remaining  
   0:04    1.17% complete (178 updates), about 7 minutes remaining  
   0:05    1.24% complete (179 updates), about 7 minutes remaining  
   0:05    1.30% complete (180 updates), about 7 minutes remaining  
   0:05    1.36% complete (180 updates), about 7 minutes remaining  
   0:05    1.42% complete (180 updates), about 7 minutes remaining  
   0:06    1.48% complete (180 updates), about 7 minutes remaining  
   0:06    1.55% complete (180 updates), about 7 minutes remaining  
   0:06    1.61% complete (181 updates), about 7 minutes remaining  
   0:06    1.67% complete (181 updates), about 7 minutes remaining  
   0:07    1.73% complete (183 updates), about 7 minutes remaining  
   0:07    1.80% complete (183 updates), about 7 minutes remaining  
   0:07    1.86% complete (184 updates), about 7 minutes remaining  
   0:07    1.92% complete (184 updates), about 7 minutes remaining  
   0:08    1.98% complete (184 updates), about 7 minutes remaining  
   0:08    2.04% complete (185 updates), about 7 minutes remaining  
   0:08    2.10% complete (186 updates), about 7 minutes remaining  
   0:08    2.17% complete (186 updates), about 7 minutes remaining  
   0:09    2.23% complete (186 updates), about 7 minutes remaining  
   0:09    2.29% complete (187 updates), about 7 minutes remaining  
   0:09    2.36% complete (188 updates), about 7 minutes remaining  
   0:09    2.42% complete (188 updates), about 7 minutes remaining  
   0:10    2.48% complete (189 updates), about 7 minutes remaining  
   0:10    2.54% complete (191 updates), about 7 minutes remaining  
   0:10    2.60% complete (192 updates), about 7 minutes remaining  
   0:10    2.67% complete (194 updates), about 7 minutes remaining  
   0:11    2.73% complete (194 updates), about 7 minutes remaining  
   0:11    2.79% complete (196 updates), about 7 minutes remaining  
   0:11    2.86% complete (196 updates), about 7 minutes remaining  
   0:11    2.92% complete (196 updates), about 7 minutes remaining  
   0:12    2.98% complete (197 updates), about 7 minutes remaining  
   0:12    3.04% complete (197 updates), about 7 minutes remaining  
   0:12    3.11% complete (198 updates), about 6 minutes remaining  
   0:12    3.17% complete (198 updates), about 6 minutes remaining  
   0:13    3.23% complete (199 updates), about 6 minutes remaining  
   0:13    3.29% complete (199 updates), about 6 minutes remaining  
   0:13    3.36% complete (200 updates), about 6 minutes remaining  
   0:13    3.42% complete (200 updates), about 6 minutes remaining  
   0:14    3.48% complete (201 updates), about 6 minutes remaining  
   0:14    3.54% complete (201 updates), about 6 minutes remaining  
   0:14    3.61% complete (202 updates), about 6 minutes remaining  
   0:14    3.67% complete (202 updates), about 6 minutes remaining  
   0:15    3.73% complete (202 updates), about 6 minutes remaining  
   0:15    3.79% complete (202 updates), about 6 minutes remaining  
   0:15    3.86% complete (202 updates), about 6 minutes remaining  
   0:15    3.92% complete (202 updates), about 6 minutes remaining  
   0:16    3.98% complete (202 updates), about 6 minutes remaining  
   0:16    4.04% complete (203 updates), about 6 minutes remaining  
   0:16    4.11% complete (203 updates), about 6 minutes remaining  
   0:16    4.17% complete (203 updates), about 6 minutes remaining  
   0:17    4.23% complete (203 updates), about 6 minutes remaining  
   0:17    4.29% complete (203 updates), about 6 minutes remaining  
   0:17    4.36% complete (203 updates), about 6 minutes remaining  
