Create schedule for 77 teams playing 16 rounds in 154 matches
with a minimum match separation of 6 running 5000000 iterations.

   0:00    0.04% complete (132 updates), about 10 minutes remaining  
   0:00    0.09% complete (150 updates), about 9 minutes remaining  
   0:00    0.14% complete (163 updates), about 9 minutes remaining  
   0:01    0.18% complete (168 updates), about 9 minutes remaining  
   0:01    0.23% complete (172 updates), about 9 minutes remaining  
   0:01    0.28% complete (177 updates), about 9 minutes remaining  
   0:01    0.32% complete (183 updates), about 9 minutes remaining  
   0:02    0.37% complete (185 updates), about 9 minutes remaining  
   0:02    0.42% complete (186 updates), about 9 minutes remaining  
   0:02    0.46% complete (187 updates), about 9 minutes remaining  
   0:02    0.51% complete (188 updates), about 9 minutes remaining  
   0:03    0.55% complete (190 updates), about 9 minutes remaining  
   0:03    0.60% complete (192 updates), about 9 minutes remaining  
   0:03    0.65% complete (193 updates), about 9 minutes remaining  
   0:03    0.70% complete (199 updates), about 9 minutes remaining  
   0:04    0.74% complete (200 updates), about 9 minutes remaining  
   0:04    0.79% complete (204 updates), about 9 minutes remaining  
   0:04    0.83% complete (206 updates), about 9 minutes remaining  
   0:04    0.88% complete (209 updates), about 9 minutes remaining  
   0:05    0.93% complete (210 updates), about 9 minutes remaining  
   0:05    0.97% complete (210 updates), about 9 minutes remaining  
   0:05    1.02% complete (211 updates), about 9 minutes remaining  
   0:05    1.07% complete (214 updates), about 9 minutes remaining  
   0:06    1.11% complete (215 updates), about 9 minutes remaining  
   0:06    1.16% complete (215 updates), about 9 minutes remaining  
   0:06    1.21% complete (215 updates), about 9 minutes remaining  
   0:06    1.25% complete (215 updates), about 9 minutes remaining  
   0:07    1.30% complete (217 updates), about 9 minutes remaining  
   0:07    1.35% complete (217 updates), about 9 minutes remaining  
   0:07    1.39% complete (219 updates), about 9 minutes remaining  
   0:07    1.44% complete (222 updates), about 9 minutes remaining  
   0:08    1.49% complete (223 updates), about 9 minutes remaining  
   0:08    1.53% complete (224 updates), about 9 minutes remaining  
   0:08    1.58% complete (225 updates), about 9 minutes remaining  
   0:08    1.62% complete (225 updates), about 9 minutes remaining  
